RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,COHERENCE_POWER,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm3,0.3,30,1.0,1,rm1,0,0.3693,0.4158,0.4105,0.3953,0.3539,0.4104,0.4137,0.4085,0.4022,0.3627,0.3497,0.3897,0.9371,0.0066
rm3,0.3,30,1.0,1,rm1,1,0.3693,0.4223,0.4131,0.3952,0.3533,0.4152,0.4173,0.4113,0.4044,0.3652,0.3485,0.3915,0.9272,0.0079
rm3,0.3,30,1.0,1,rm1,2,0.3693,0.4192,0.4137,0.3962,0.3518,0.4164,0.4184,0.4123,0.4028,0.3609,0.3476,0.3911,0.933,0.0053
rm3,0.3,30,1.0,1,rm1,4,0.3693,0.4214,0.4123,0.393,0.3501,0.4133,0.4193,0.4107,0.396,0.3578,0.3419,0.3883,0.9213,0.0046
rm3,0.3,30,1.0,2,rm1,0,0.3693,0.4161,0.4072,0.3959,0.3512,0.4139,0.4091,0.4101,0.3953,0.3617,0.3425,0.3874,0.9311,0.0087
rm3,0.3,30,1.0,2,rm1,1,0.3693,0.4196,0.4094,0.3954,0.3502,0.415,0.4111,0.4125,0.3956,0.3652,0.3403,0.3883,0.9254,0.0043
rm3,0.3,30,1.0,2,rm1,2,0.3693,0.4213,0.409,0.3943,0.3495,0.4164,0.4137,0.4102,0.396,0.3626,0.3415,0.3881,0.9212,0.0077
rm3,0.3,30,1.0,2,rm1,4,0.3693,0.42,0.4094,0.3906,0.3445,0.4149,0.4154,0.4098,0.3919,0.3586,0.3376,0.3858,0.9187,0.0061
rm3,0.3,60,1.0,1,rm1,0,0.3693,0.4169,0.4147,0.3954,0.3562,0.411,0.4191,0.4088,0.4004,0.3667,0.3583,0.3923,0.9409,0.0057
rm3,0.3,60,1.0,1,rm1,1,0.3693,0.4235,0.4166,0.3955,0.357,0.4125,0.4198,0.4132,0.4026,0.3667,0.36,0.3938,0.9297,0.0092
rm3,0.3,60,1.0,1,rm1,2,0.3693,0.4223,0.4155,0.3963,0.3569,0.4171,0.4207,0.4153,0.4036,0.3657,0.3564,0.3942,0.9333,0.0065
rm3,0.3,60,1.0,1,rm1,4,0.3693,0.4259,0.4155,0.3952,0.3554,0.4195,0.4227,0.4123,0.4005,0.3638,0.3511,0.3929,0.9225,0.0067
rm3,0.3,60,1.0,2,rm1,0,0.3693,0.4124,0.4081,0.3967,0.3515,0.4108,0.4106,0.4092,0.3971,0.3629,0.3471,0.3882,0.9414,0.0053
rm3,0.3,60,1.0,2,rm1,1,0.3693,0.4184,0.4096,0.3963,0.3524,0.4151,0.4145,0.4124,0.3993,0.3662,0.3461,0.3902,0.9327,0.0094
rm3,0.3,60,1.0,2,rm1,2,0.3693,0.419,0.4094,0.3942,0.3518,0.4183,0.4139,0.4107,0.3984,0.3652,0.3448,0.3896,0.9299,0.0081
rm3,0.3,60,1.0,2,rm1,4,0.3693,0.4211,0.4104,0.3937,0.3499,0.418,0.4182,0.4071,0.3935,0.3612,0.3409,0.3881,0.9217,0.0067
