RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm3,0.3,10,0.5,1,rm1,0.3685,0.3889,0.3892,0.3734,0.3346,0.3887,0.3948,0.3867,0.3838,0.3424,0.332,0.3695,0.9502,0.0053
rm3,0.3,10,0.5,1,rm2,0.3685,0.3451,0.3556,0.3498,0.3163,0.3549,0.3499,0.3489,0.3462,0.3077,0.3148,0.3382,0.98,0.0149
rm3,0.3,10,0.5,2,rm1,0.3685,0.3861,0.3835,0.3774,0.3308,0.3894,0.3932,0.3873,0.3813,0.3397,0.3238,0.3674,0.9515,0.0051
rm3,0.3,10,0.5,2,rm2,0.3685,0.3511,0.3595,0.3552,0.3135,0.3577,0.3538,0.3524,0.3485,0.3084,0.3052,0.3394,0.9665,0.0108
rm3,0.3,10,0.5,3,rm1,0.3685,0.3901,0.3879,0.3762,0.3251,0.3912,0.3937,0.3852,0.3766,0.3414,0.3044,0.3646,0.9347,0.0025
rm3,0.3,10,0.5,3,rm2,0.3685,0.3622,0.3667,0.3615,0.3046,0.3664,0.364,0.3568,0.3509,0.3096,0.2706,0.339,0.936,0.0166
rm3,0.3,10,1.0,1,rm1,0.3685,0.3976,0.3933,0.3841,0.343,0.3984,0.3994,0.3955,0.3892,0.3507,0.3326,0.3762,0.9463,0.0072
rm3,0.3,10,1.0,1,rm2,0.3685,0.3451,0.3556,0.3498,0.3163,0.3549,0.3499,0.3489,0.3462,0.3077,0.3148,0.3382,0.98,0.0125
rm3,0.3,10,1.0,2,rm1,0.3685,0.4003,0.3918,0.3879,0.3349,0.4011,0.4011,0.3945,0.3886,0.3493,0.3229,0.3747,0.9359,0.0042
rm3,0.3,10,1.0,2,rm2,0.3685,0.3511,0.3595,0.3552,0.3135,0.3577,0.3538,0.3524,0.3485,0.3084,0.3052,0.3394,0.9665,0.015
rm3,0.3,10,1.0,3,rm1,0.3685,0.4048,0.395,0.384,0.3311,0.3989,0.4059,0.3899,0.3792,0.3481,0.3048,0.3708,0.9159,0.0022
rm3,0.3,10,1.0,3,rm2,0.3685,0.3622,0.3667,0.3615,0.3046,0.3664,0.364,0.3568,0.3509,0.3096,0.2706,0.339,0.936,0.0128
rm3,0.3,10,2.0,1,rm1,0.3685,0.4058,0.3958,0.3909,0.3455,0.4016,0.3994,0.3934,0.3913,0.3555,0.3358,0.3788,0.9333,0.0041
rm3,0.3,10,2.0,1,rm2,0.3685,0.3451,0.3556,0.3498,0.3163,0.3549,0.3499,0.3489,0.3462,0.3077,0.3148,0.3382,0.98,0.0175
rm3,0.3,10,2.0,2,rm1,0.3685,0.4058,0.3948,0.391,0.3372,0.4006,0.3988,0.3919,0.3878,0.3539,0.325,0.3757,0.9258,0.0118
rm3,0.3,10,2.0,2,rm2,0.3685,0.3511,0.3595,0.3552,0.3135,0.3577,0.3538,0.3524,0.3485,0.3084,0.3052,0.3394,0.9665,0.0178
rm3,0.3,10,2.0,3,rm1,0.3685,0.4065,0.3929,0.387,0.333,0.4024,0.4032,0.3868,0.378,0.3511,0.3058,0.3711,0.9131,0.0023
rm3,0.3,10,2.0,3,rm2,0.3685,0.3622,0.3667,0.3615,0.3046,0.3664,0.364,0.3568,0.3509,0.3096,0.2706,0.339,0.936,0.012
rm3,0.3,30,0.5,1,rm1,0.3685,0.4137,0.4063,0.3884,0.3511,0.4071,0.4108,0.4012,0.4005,0.3542,0.351,0.3856,0.9322,0.0074
rm3,0.3,30,0.5,1,rm2,0.3685,0.3708,0.3788,0.369,0.3336,0.3789,0.3729,0.367,0.3633,0.3304,0.3297,0.3582,0.9659,0.0174
rm3,0.3,30,0.5,2,rm1,0.3685,0.4087,0.4009,0.3914,0.3495,0.4054,0.4061,0.404,0.3948,0.3575,0.3441,0.3837,0.9389,0.0033
rm3,0.3,30,0.5,2,rm2,0.3685,0.3726,0.3811,0.3702,0.3284,0.378,0.3724,0.3656,0.3608,0.3298,0.3149,0.3557,0.9545,0.0228
rm3,0.3,30,0.5,3,rm1,0.3685,0.4084,0.3992,0.3873,0.3379,0.4036,0.4061,0.3951,0.3887,0.3526,0.3148,0.3761,0.921,0.0033
rm3,0.3,30,0.5,3,rm2,0.3685,0.3789,0.3793,0.3713,0.3154,0.3811,0.3786,0.3685,0.3527,0.3296,0.2741,0.3501,0.9238,0.016
rm3,0.3,30,1.0,1,rm1,0.3685,0.4161,0.4102,0.3962,0.3539,0.4116,0.4139,0.4078,0.4028,0.3621,0.3488,0.3897,0.9366,0.0036
rm3,0.3,30,1.0,1,rm2,0.3685,0.3708,0.3788,0.369,0.3336,0.3789,0.3729,0.367,0.3633,0.3304,0.3297,0.3582,0.9659,0.0152
rm3,0.3,30,1.0,2,rm1,0.3685,0.415,0.4069,0.3967,0.3526,0.4145,0.4093,0.4095,0.3943,0.3644,0.3434,0.3879,0.9347,0.0036
rm3,0.3,30,1.0,2,rm2,0.3685,0.3726,0.3811,0.3702,0.3284,0.378,0.3724,0.3656,0.3608,0.3298,0.3149,0.3557,0.9545,0.0163
rm3,0.3,30,1.0,3,rm1,0.3685,0.4124,0.4043,0.3925,0.3414,0.4094,0.4093,0.3972,0.3832,0.3597,0.3176,0.3794,0.9199,0.0037
rm3,0.3,30,1.0,3,rm2,0.3685,0.3789,0.3793,0.3713,0.3154,0.3811,0.3786,0.3685,0.3527,0.3296,0.2741,0.3501,0.9238,0.0128
rm3,0.3,30,2.0,1,rm1,0.3685,0.4172,0.4099,0.3975,0.3539,0.4127,0.4147,0.4046,0.396,0.367,0.3483,0.3894,0.9334,0.005
rm3,0.3,30,2.0,1,rm2,0.3685,0.3708,0.3788,0.369,0.3336,0.3789,0.3729,0.367,0.3633,0.3304,0.3297,0.3582,0.9659,0.0161
rm3,0.3,30,2.0,2,rm1,0.3685,0.4158,0.4074,0.3971,0.3512,0.4141,0.4111,0.4054,0.3895,0.3646,0.3415,0.3869,0.9304,0.0048
rm3,0.3,30,2.0,2,rm2,0.3685,0.3726,0.3811,0.3702,0.3284,0.378,0.3724,0.3656,0.3608,0.3298,0.3149,0.3557,0.9545,0.0126
rm3,0.3,30,2.0,3,rm1,0.3685,0.415,0.4026,0.3895,0.3387,0.41,0.4068,0.3954,0.3773,0.3574,0.3179,0.3773,0.9092,0.0098
rm3,0.3,30,2.0,3,rm2,0.3685,0.3789,0.3793,0.3713,0.3154,0.3811,0.3786,0.3685,0.3527,0.3296,0.2741,0.3501,0.9238,0.0161
rm3,0.3,60,0.5,1,rm1,0.3685,0.4141,0.4109,0.3911,0.3562,0.4071,0.4145,0.407,0.4003,0.3628,0.3572,0.3897,0.9411,0.0074
rm3,0.3,60,0.5,1,rm2,0.3685,0.3781,0.3804,0.3714,0.3381,0.3826,0.3785,0.3738,0.3677,0.3383,0.3315,0.3625,0.9588,0.0172
rm3,0.3,60,0.5,2,rm1,0.3685,0.4094,0.4033,0.3926,0.3545,0.4076,0.4112,0.4054,0.3977,0.3638,0.346,0.3869,0.9451,0.0085
rm3,0.3,60,0.5,2,rm2,0.3685,0.3748,0.3809,0.3705,0.3287,0.3822,0.377,0.3716,0.3641,0.3339,0.3166,0.3584,0.9563,0.0169
rm3,0.3,60,0.5,3,rm1,0.3685,0.4088,0.3984,0.387,0.34,0.4037,0.409,0.3956,0.3867,0.3549,0.3161,0.3768,0.9217,0.0051
rm3,0.3,60,0.5,3,rm2,0.3685,0.3824,0.3802,0.3708,0.3167,0.3856,0.3777,0.3727,0.353,0.3294,0.2742,0.3512,0.9182,0.0225
rm3,0.3,60,1.0,1,rm1,0.3685,0.4181,0.4159,0.3953,0.357,0.4101,0.4192,0.4082,0.4014,0.366,0.3575,0.3923,0.9383,0.0264
rm3,0.3,60,1.0,1,rm2,0.3685,0.3781,0.3804,0.3714,0.3381,0.3826,0.3785,0.3738,0.3677,0.3383,0.3315,0.3625,0.9588,0.0169
rm3,0.3,60,1.0,2,rm1,0.3685,0.4124,0.4074,0.3966,0.3528,0.4104,0.4098,0.409,0.3971,0.3664,0.3477,0.3886,0.9422,0.0052
rm3,0.3,60,1.0,2,rm2,0.3685,0.3748,0.3809,0.3705,0.3287,0.3822,0.377,0.3716,0.3641,0.3339,0.3166,0.3584,0.9563,0.0151
rm3,0.3,60,1.0,3,rm1,0.3685,0.4149,0.4042,0.3923,0.3416,0.4073,0.4094,0.3955,0.3821,0.3571,0.3165,0.3784,0.9122,0.0066
rm3,0.3,60,1.0,3,rm2,0.3685,0.3824,0.3802,0.3708,0.3167,0.3856,0.3777,0.3727,0.353,0.3294,0.2742,0.3512,0.9182,0.0187
rm3,0.3,60,2.0,1,rm1,0.3685,0.4187,0.4143,0.3982,0.3552,0.412,0.4144,0.4049,0.3964,0.3671,0.3546,0.3908,0.9333,0.0065
rm3,0.3,60,2.0,1,rm2,0.3685,0.3781,0.3804,0.3714,0.3381,0.3826,0.3785,0.3738,0.3677,0.3383,0.3315,0.3625,0.9588,0.0139
rm3,0.3,60,2.0,2,rm1,0.3685,0.415,0.407,0.3956,0.3565,0.4096,0.4099,0.4036,0.392,0.3639,0.3459,0.3871,0.9329,0.0076
rm3,0.3,60,2.0,2,rm2,0.3685,0.3748,0.3809,0.3705,0.3287,0.3822,0.377,0.3716,0.3641,0.3339,0.3166,0.3584,0.9563,0.0176
rm3,0.3,60,2.0,3,rm1,0.3685,0.4104,0.4015,0.3885,0.3419,0.4048,0.4061,0.3917,0.3772,0.3553,0.3198,0.3763,0.917,0.0104
rm3,0.3,60,2.0,3,rm2,0.3685,0.3824,0.3802,0.3708,0.3167,0.3856,0.3777,0.3727,0.353,0.3294,0.2742,0.3512,0.9182,0.0398
rm3,0.5,10,0.5,1,rm1,0.3685,0.3949,0.3965,0.3875,0.3589,0.3975,0.3988,0.3956,0.3953,0.3631,0.3569,0.3834,0.9708,0.0044
rm3,0.5,10,0.5,1,rm2,0.3685,0.367,0.3741,0.3756,0.3498,0.3733,0.371,0.3725,0.3701,0.3481,0.3436,0.3642,0.9924,0.0156
