RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,COHERENCE_POWER,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm3,0.4,30,1.0,1,rm1,0,0.3693,0.4145,0.4072,0.401,0.3616,0.4122,0.4113,0.4068,0.3968,0.3681,0.3632,0.392,0.9458,0.0037
rm3,0.4,30,1.0,1,rm1,1,0.3693,0.4193,0.4103,0.4013,0.362,0.4188,0.4153,0.4115,0.4002,0.3701,0.3607,0.3945,0.9407,0.0057
rm3,0.4,30,1.0,1,rm1,2,0.3693,0.4211,0.4099,0.4013,0.3634,0.4203,0.4151,0.414,0.4002,0.3693,0.3594,0.3948,0.9376,0.0048
rm3,0.4,30,1000.0,1,rm1,0,0.3693,0.3975,0.3907,0.3809,0.3507,0.3927,0.3836,0.3783,0.3741,0.3569,0.349,0.373,0.9383,0.0064
rm3,0.4,30,1000.0,1,rm1,1,0.3693,0.3977,0.3922,0.3778,0.3412,0.3967,0.3892,0.3801,0.3741,0.3483,0.3434,0.3714,0.9341,0.0043
rm3,0.4,30,1000.0,1,rm1,2,0.3693,0.3999,0.3901,0.3759,0.3328,0.3977,0.392,0.3774,0.3723,0.3402,0.3401,0.3687,0.922,0.0072
rm3,0.4,45,1.0,1,rm1,0,0.3693,0.417,0.412,0.4005,0.3653,0.4147,0.4162,0.4102,0.3969,0.3695,0.3677,0.3948,0.9468,0.0057
rm3,0.4,45,1.0,1,rm1,1,0.3693,0.42,0.4127,0.4028,0.3669,0.4173,0.4164,0.4107,0.3999,0.3699,0.3676,0.396,0.9428,0.0078
rm3,0.4,45,1.0,1,rm1,2,0.3693,0.4207,0.4128,0.4029,0.3658,0.4196,0.4179,0.4131,0.4013,0.3715,0.366,0.3968,0.9431,0.006
rm3,0.4,45,1000.0,1,rm1,0,0.3693,0.3954,0.3882,0.378,0.3543,0.3911,0.3834,0.3782,0.3716,0.3558,0.3572,0.3731,0.9436,0.007
rm3,0.4,45,1000.0,1,rm1,1,0.3693,0.4011,0.3889,0.3778,0.3451,0.3926,0.3874,0.3803,0.3711,0.3471,0.3508,0.3712,0.9256,0.0062
rm3,0.4,45,1000.0,1,rm1,2,0.3693,0.4001,0.3891,0.3754,0.3347,0.3962,0.3885,0.3806,0.3704,0.3408,0.3447,0.3689,0.9222,0.0055
rm3,0.5,30,1.0,1,rm1,0,0.3693,0.4094,0.4067,0.4,0.3695,0.4093,0.409,0.4057,0.3969,0.3752,0.3713,0.3937,0.9616,0.0045
rm3,0.5,30,1.0,1,rm1,1,0.3693,0.4144,0.4077,0.4016,0.3694,0.4136,0.4111,0.4097,0.3993,0.3762,0.3715,0.3956,0.9545,0.0049
rm3,0.5,30,1.0,1,rm1,2,0.3693,0.4168,0.4065,0.4012,0.3707,0.4161,0.4116,0.4119,0.3997,0.3766,0.3698,0.396,0.9501,0.0052
rm3,0.5,30,1000.0,1,rm1,0,0.3693,0.3983,0.3912,0.386,0.3669,0.3957,0.3862,0.3864,0.379,0.3713,0.363,0.3806,0.9556,0.0038
rm3,0.5,30,1000.0,1,rm1,1,0.3693,0.4,0.3939,0.3833,0.3603,0.3988,0.3886,0.3885,0.3799,0.3655,0.3574,0.3796,0.9489,0.0042
rm3,0.5,30,1000.0,1,rm1,2,0.3693,0.3999,0.3923,0.381,0.3555,0.3964,0.39,0.3894,0.3763,0.3589,0.3541,0.3771,0.9429,0.005
rm3,0.5,45,1.0,1,rm1,0,0.3693,0.4098,0.408,0.3995,0.3729,0.4094,0.4101,0.4069,0.3964,0.3756,0.3745,0.3948,0.9634,0.0049
rm3,0.5,45,1.0,1,rm1,1,0.3693,0.4133,0.4058,0.4011,0.3751,0.4114,0.4096,0.4076,0.3978,0.3768,0.3756,0.3956,0.9574,0.0068
rm3,0.5,45,1.0,1,rm1,2,0.3693,0.4151,0.4081,0.4003,0.3743,0.4131,0.4119,0.4096,0.3988,0.3756,0.3742,0.3962,0.9544,0.0059
rm3,0.5,45,1000.0,1,rm1,0,0.3693,0.3934,0.3915,0.3842,0.3673,0.3932,0.3853,0.3849,0.3782,0.3728,0.3672,0.3805,0.9673,0.0056
rm3,0.5,45,1000.0,1,rm1,1,0.3693,0.4004,0.3902,0.3815,0.3624,0.3954,0.3881,0.3879,0.3799,0.3692,0.3616,0.3796,0.948,0.0078
rm3,0.5,45,1000.0,1,rm1,2,0.3693,0.4019,0.3912,0.3804,0.3569,0.3988,0.39,0.3892,0.3764,0.3593,0.357,0.3777,0.9398,0.0061
rm3,0.6,30,1.0,1,rm1,0,0.3693,0.4027,0.4013,0.396,0.3732,0.4026,0.4021,0.4015,0.3933,0.3802,0.3717,0.3913,0.9717,0.0043
rm3,0.6,30,1.0,1,rm1,1,0.3693,0.4062,0.4035,0.3968,0.3738,0.4068,0.4036,0.4041,0.3943,0.3828,0.3736,0.3933,0.9682,0.0047
rm3,0.6,30,1.0,1,rm1,2,0.3693,0.4081,0.4036,0.397,0.3741,0.4084,0.4053,0.4076,0.3951,0.3822,0.3734,0.3941,0.9656,0.005
rm3,0.6,30,1000.0,1,rm1,0,0.3693,0.396,0.3895,0.386,0.3742,0.3937,0.3864,0.3894,0.3822,0.3797,0.3718,0.3837,0.9689,0.011
rm3,0.6,30,1000.0,1,rm1,1,0.3693,0.4004,0.3931,0.3881,0.3725,0.399,0.3901,0.393,0.3828,0.3786,0.368,0.385,0.9616,0.005
rm3,0.6,30,1000.0,1,rm1,2,0.3693,0.4027,0.3942,0.3863,0.3697,0.3992,0.3897,0.395,0.3813,0.3776,0.3637,0.3841,0.9538,0.0059
rm3,0.6,45,1.0,1,rm1,0,0.3693,0.4039,0.4013,0.3935,0.3756,0.4041,0.4026,0.4029,0.3926,0.3807,0.3735,0.3919,0.9703,0.0048
rm3,0.6,45,1.0,1,rm1,1,0.3693,0.4062,0.4023,0.3947,0.3762,0.4062,0.4032,0.4033,0.3931,0.382,0.3752,0.3929,0.9673,0.0075
rm3,0.6,45,1.0,1,rm1,2,0.3693,0.4078,0.403,0.396,0.3742,0.4072,0.4044,0.4053,0.3938,0.3834,0.3738,0.3934,0.9647,0.0115
rm3,0.6,45,1000.0,1,rm1,0,0.3693,0.3916,0.3904,0.385,0.373,0.3912,0.3862,0.3867,0.3814,0.379,0.3721,0.3828,0.9774,0.0048
rm3,0.6,45,1000.0,1,rm1,1,0.3693,0.396,0.3917,0.3857,0.3714,0.3956,0.3887,0.39,0.3806,0.3787,0.3686,0.3835,0.9684,0.0137
rm3,0.6,45,1000.0,1,rm1,2,0.3693,0.4009,0.3933,0.3842,0.3699,0.3977,0.39,0.3927,0.3824,0.3754,0.3644,0.3833,0.9561,0.0073
