RM_VARIANT,FB_LAMBDA,FB_TERMS,SEED_WEIGHT_TEMP,MIN_SEED_DF,RM_BASE,ql_ndcg,clean,uniform@0.25,uniform@0.5,uniform@0.75,adjacent@0.25,outside@0.25,adjacent@0.5,outside@0.5,adjacent@0.75,outside@0.75,noisy_mean,retention,max_call_s
rm1,0.0,20,1.0,2,rm1,0.5554,0.57,0.549,0.5638,0.5244,0.5746,0.5622,0.5496,0.5463,0.4929,0.4982,0.5401,0.9476,0.0136
rm1,0.0,45,1.0,2,rm1,0.5554,0.5755,0.5525,0.5664,0.534,0.5747,0.5692,0.5476,0.5484,0.4942,0.5004,0.543,0.9435,0.0063
rm1,0.0,80,1.0,2,rm1,0.5554,0.5664,0.5514,0.561,0.532,0.5742,0.5643,0.546,0.5462,0.4977,0.4975,0.5412,0.9554,0.0107
rm2,0.0,20,1.0,2,rm1,0.5554,0.5444,0.5364,0.5333,0.5034,0.5417,0.5362,0.529,0.5357,0.4978,0.4826,0.5218,0.9585,0.0259
rm2,0.0,45,1.0,2,rm1,0.5554,0.5421,0.5359,0.5393,0.506,0.5471,0.5372,0.5315,0.5373,0.4829,0.4815,0.5221,0.963,0.0125
rm2,0.0,80,1.0,2,rm1,0.5554,0.5503,0.5406,0.5394,0.5035,0.5486,0.5465,0.5269,0.5369,0.4809,0.4805,0.5226,0.9497,0.0168
rm3,0.0,20,1.0,2,rm1,0.5554,0.57,0.549,0.5638,0.5244,0.5746,0.5622,0.5496,0.5463,0.4929,0.4982,0.5401,0.9476,0.0029
rm3,0.0,45,1.0,2,rm1,0.5554,0.5755,0.5525,0.5664,0.534,0.5747,0.5692,0.5476,0.5484,0.4942,0.5004,0.543,0.9435,0.0054
rm3,0.0,80,1.0,2,rm1,0.5554,0.5664,0.5514,0.561,0.532,0.5742,0.5643,0.546,0.5462,0.4977,0.4975,0.5412,0.9554,0.0052
rm3,0.2,20,1.0,2,rm1,0.5554,0.5805,0.5554,0.5659,0.5452,0.5745,0.5676,0.5538,0.5529,0.5106,0.5136,0.5488,0.9454,0.0024
rm3,0.2,45,1.0,2,rm1,0.5554,0.5727,0.5529,0.573,0.5536,0.5778,0.5666,0.555,0.5513,0.5124,0.5266,0.5521,0.9641,0.0047
rm3,0.2,80,1.0,2,rm1,0.5554,0.573,0.556,0.5673,0.5516,0.5821,0.5703,0.5525,0.5516,0.5091,0.5229,0.5515,0.9625,0.0106
rm3,0.3,20,1.0,2,rm1,0.5554,0.574,0.5561,0.5707,0.5518,0.5762,0.5636,0.5588,0.5528,0.5216,0.5307,0.5536,0.9644,0.0029
rm3,0.3,45,1.0,2,rm1,0.5554,0.5654,0.555,0.5695,0.5577,0.5744,0.5629,0.5583,0.5526,0.5204,0.5392,0.5544,0.9806,0.0049
rm3,0.3,80,1.0,2,rm1,0.5554,0.5756,0.5581,0.5666,0.5589,0.5789,0.5683,0.5541,0.5497,0.5212,0.5376,0.5548,0.9638,0.0123
rm3,0.4,20,1.0,2,rm1,0.5554,0.5677,0.5566,0.5689,0.5536,0.5788,0.5614,0.5629,0.5523,0.5306,0.5391,0.556,0.9794,0.0028
rm3,0.4,45,1.0,2,rm1,0.5554,0.5694,0.5571,0.5679,0.5564,0.5784,0.5623,0.5575,0.5533,0.5267,0.5429,0.5558,0.9761,0.0049
rm3,0.4,80,1.0,2,rm1,0.5554,0.5752,0.5547,0.5623,0.5544,0.5773,0.5657,0.5538,0.5499,0.5273,0.5402,0.5539,0.9631,0.0055
rm3,0.5,20,1.0,2,rm1,0.5554,0.575,0.5621,0.5688,0.552,0.5781,0.5669,0.5665,0.5576,0.5372,0.5409,0.5589,0.9719,0.0033
rm3,0.5,45,1.0,2,rm1,0.5554,0.5698,0.5586,0.5651,0.5567,0.5767,0.5639,0.5593,0.5521,0.5323,0.5448,0.5566,0.9768,0.0059
rm3,0.5,80,1.0,2,rm1,0.5554,0.5734,0.5571,0.5599,0.5607,0.5751,0.5665,0.5562,0.5476,0.5311,0.5425,0.5552,0.9683,0.0062
rm3,0.6,20,1.0,2,rm1,0.5554,0.5756,0.5602,0.5651,0.553,0.5766,0.5661,0.5705,0.5534,0.5425,0.5417,0.5588,0.9707,0.0256
rm3,0.6,45,1.0,2,rm1,0.5554,0.5725,0.5584,0.5634,0.5562,0.5751,0.5641,0.5614,0.5508,0.536,0.547,0.5569,0.9728,0.0043
rm3,0.6,80,1.0,2,rm1,0.5554,0.5727,0.5566,0.5583,0.5557,0.5683,0.5653,0.5543,0.5486,0.5327,0.5456,0.5539,0.9673,0.0083
rm3,0.7,20,1.0,2,rm1,0.5554,0.5723,0.5609,0.5636,0.5563,0.5741,0.5745,0.5694,0.5565,0.5493,0.5461,0.5612,0.9807,0.0026
rm3,0.7,45,1.0,2,rm1,0.5554,0.5662,0.554,0.5616,0.5574,0.5676,0.5646,0.5581,0.5491,0.5506,0.5486,0.5568,0.9834,0.0333
rm3,0.7,80,1.0,2,rm1,0.5554,0.5648,0.5524,0.5568,0.556,0.5621,0.5637,0.556,0.5477,0.5451,0.5481,0.5542,0.9813,0.0072
rm3,0.8,20,1.0,2,rm1,0.5554,0.5709,0.5598,0.56,0.5566,0.5699,0.5725,0.5662,0.5557,0.558,0.5534,0.5614,0.9833,0.0031
rm3,0.8,45,1.0,2,rm1,0.5554,0.5666,0.5527,0.562,0.5541,0.5671,0.5674,0.5617,0.5514,0.5536,0.5557,0.5584,0.9856,0.0062
rm3,0.8,80,1.0,2,rm1,0.5554,0.5652,0.553,0.5609,0.5544,0.5654,0.5637,0.5606,0.5486,0.5515,0.5522,0.5567,0.9849,0.0071
rm3,0.9,20,1.0,2,rm1,0.5554,0.5654,0.5544,0.5574,0.5587,0.5629,0.5625,0.5622,0.557,0.5564,0.5564,0.5587,0.988,0.0028
rm3,0.9,45,1.0,2,rm1,0.5554,0.5634,0.5524,0.5581,0.5551,0.5615,0.5621,0.5573,0.5545,0.5537,0.5548,0.5566,0.988,0.0045
rm3,0.9,80,1.0,2,rm1,0.5554,0.561,0.5523,0.5566,0.5547,0.5616,0.5593,0.5577,0.5523,0.5545,0.5556,0.5561,0.9913,0.0067
rm3,1.0,20,1.0,2,rm1,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,1.0,0.0035
rm3,1.0,45,1.0,2,rm1,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,1.0,0.0044
rm3,1.0,80,1.0,2,rm1,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,0.5554,1.0,0.0074
